T | 28 31 33 32 30 32 2E 32 35 34 29 20 58 31 20 31 33 3A 32 38 3A 30 36 2E 37 39 32
R | 28 31 33 32 30 32 2E 32 36 36 29 20 58 32 20 31 33 3A 32 38 3A 30 36 2E 38 30 33
T | 28 31 33 32 30 32 2E 38 38 35 29 20 58 31 20 31 33 3A 32 38 3A 30 37 2E 34 32 32
R | 28 31 33 32 30 32 2E 38 39 37 29 20 58 32 20 31 33 3A 32 38 3A 30 37 2E 34 33 35
T | 28 31 33 32 30 33 2E 35 31 31 29 20 58 31 20 31 33 3A 32 38 3A 30 38 2E 30 34 39
R | 28 31 33 32 30 33 2E 35 32 33 29 20 58 32 20 31 33 3A 32 38 3A 30 38 2E 30 36 30
T | 28 31 33 32 30 34 2E 31 34 32 29 20 58 31 20 31 33 3A 32 38 3A 30 38 2E 36 37 39
R | 28 31 33 32 30 34 2E 31 35 36 29 20 58 32 20 31 33 3A 32 38 3A 30 38 2E 36 39 34
T | 28 31 33 32 30 34 2E 37 36 39 29 20 58 31 20 31 33 3A 32 38 3A 30 39 2E 33 30 37
R | 28 31 33 32 30 34 2E 37 38 30 29 20 58 32 20 31 33 3A 32 38 3A 30 39 2E 33 31 38
T | 28 31 33 32 30 36 2E 34 32 32 29 20 58 31 20 31 33 3A 32 38 3A 31 30 2E 39 35 39
R | 28 31 33 32 30 36 2E 34 33 39 29 20 58 32 20 31 33 3A 32 38 3A 31 30 2E 39 37 37
T | 28 31 33 32 30 37 2E 30 35 39 29 20 58 31 20 31 33 3A 32 38 3A 31 31 2E 35 39 36
R | 28 31 33 32 30 37 2E 30 37 36 29 20 58 32 20 31 33 3A 32 38 3A 31 31 2E 36 31 34
T | 28 31 33 32 30 37 2E 36 39 32 29 20 58 31 20 31 33 3A 32 38 3A 31 32 2E 32 33 30
R | 28 31 33 32 30 37 2E 37 30 33 29 20 58 32 20 31 33 3A 32 38 3A 31 32 2E 32 34 31
T | 28 31 33 32 30 38 2E 33 32 30 29 20 58 31 20 31 33 3A 32 38 3A 31 32 2E 38 35 38
R | 28 31 33 32 30 38 2E 33 33 36 29 20 58 32 20 31 33 3A 32 38 3A 31 32 2E 38 37 33
T | 28 31 33 32 30 38 2E 39 35 32 29 20 58 31 20 31 33 3A 32 38 3A 31 33 2E 34 39 30
R | 28 31 33 32 30 38 2E 39 36 34 29 20 58 32 20 31 33 3A 32 38 3A 31 33 2E 35 30 31
T | 28 31 33 32 30 39 2E 35 38 34 29 20 58 31 20 31 33 3A 32 38 3A 31 34 2E 31 32 31
